participant,deployment,materiality_pre,materiality_post,materiality_delta,impact_pre,impact_post,impact_delta,efficacy_pre,efficacy_post,efficacy_delta,sat_understood_impacts,sat_engaging_format,sat_useful_docs,sat_would_recommend,open_response
C19,clermont,2.4,4.0,1.6,3.0,4.25,1.25,2.6666666666666665,3.6666666666666665,1.0,4.0,4.0,4.0,5.0,"La RDC est un pays avec beaucoup d’enjeux économiques, sociaux et environnementaux"
C33,clermont,1.6,4.0,2.4,2.75,4.25,1.5,3.0,4.333333333333333,1.333333333333333,5.0,5.0,5.0,5.0,
C23,clermont,,,,,,,,,,,,,,
C27,clermont,3.0,3.8,0.7999999999999998,2.75,3.0,0.25,2.6666666666666665,3.333333333333333,0.666666666666667,4.0,4.0,3.0,4.0,Je ne sais pas
C29,clermont,4.0,5.0,1.0,3.5,5.0,1.5,3.0,5.0,2.0,4.0,5.0,5.0,5.0,La consommation d’eau est vraiment impressionnante et cela permet de vraiment prendre conscience de la consommation à chaque fois que l’on réalise une demande auprès d’une IA.
C01,clermont,4.0,4.0,0.0,4.0,5.0,1.0,4.0,4.0,0.0,5.0,5.0,5.0,5.0,Le côté ludique est genial
C17,clermont,4.6,4.6,0.0,3.25,5.0,1.75,3.0,5.0,2.0,5.0,5.0,5.0,5.0,C'était une belle idée pour nous faire apprendre !
C34,clermont,2.2,4.4,2.2,2.25,3.75,1.5,1.3333333333333333,4.0,2.666666666666667,5.0,5.0,4.0,5.0,La consommation d'eau est impressionnante. C'est le meilleur format de TD qu'on ai eu depuis le début de l'année.
C15,clermont,3.0,4.0,1.0,2.75,4.0,1.25,2.6666666666666665,3.333333333333333,0.666666666666667,4.0,5.0,4.0,5.0,La consommation en eau des data centers
C14,clermont,2.6,3.8,1.1999999999999995,3.25,4.25,1.0,3.0,3.6666666666666665,0.6666666666666665,4.0,5.0,4.0,5.0,"Consommation d'eau importante
la mauvaise gestion des e-waste"
