participant,mat1_pre,mat2_pre,mat3_pre,mat4_pre,mat5_pre,mat1_post,mat2_post,mat3_post,mat4_post,mat5_post,imp1_pre,imp2_pre,imp3_pre,imp4_pre,imp1_post,imp2_post,imp3_post,imp4_post,eff1_pre,eff2_pre,eff3_pre,eff1_post,eff2_post,eff3_post,sat1,sat2,sat3,sat4
C19,2,4,2,2,2,5.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0
C33,1,3,1,2,1,4.0,5.0,3.0,4.0,4.0,5.0,3.0,1.0,2.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0
C23,3,5,2,3,3,,,,,,4.0,4.0,2.0,5.0,,,,,,,,,,,,,,
C27,2,4,2,3,4,4.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0
C29,4,4,3,4,5,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
C01,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
C17,4,5,4,5,5,4.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
C34,1,2,2,3,3,5.0,5.0,3.0,5.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,5.0,1.0,2.0,1.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0
C15,4,2,2,4,3,4.0,4.0,3.0,5.0,4.0,4.0,3.0,1.0,3.0,5.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0
C14,2,5,3,1,2,3.0,5.0,4.0,3.0,4.0,5.0,4.0,2.0,2.0,5.0,4.0,3.0,5.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0
C08,3,2,2,2,4,2.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0
