participant,session,deployment,mat1_pre,mat1_post,mat2_pre,mat2_post,imp1_pre,imp1_post,imp2_pre,imp2_post,eff1_pre,eff1_post,eff2_pre,eff2_post,materiality_pre,materiality_post,materiality_delta,impact_pre,impact_post,impact_delta,efficacy_pre,efficacy_post,efficacy_delta,sat1_engaging,sat2_recommend,open_response
M57,1,site_b,2,4,1,4,3,5,4,4,1,3,4,3,1.5,4.0,2.5,3.5,4.5,1.0,2.5,3.0,0.5,5,5,
M05,1,site_b,1,3,2,3,5,5,4,5,3,4,3,4,1.5,3.0,1.5,4.5,5.0,0.5,3.0,4.0,1.0,5,5,
M22,1,site_b,1,4,3,4,5,5,2,5,3,3,3,3,2.0,4.0,2.0,3.5,5.0,1.5,3.0,3.0,0.0,5,5,
M48,1,site_b,1,4,3,4,5,5,3,4,4,4,3,4,2.0,4.0,2.0,4.0,4.5,0.5,3.5,4.0,0.5,4,4,
M04,1,site_b,4,1,5,5,5,4,3,4,5,3,5,5,4.5,3.0,-1.5,4.0,4.0,0.0,5.0,4.0,-1.0,5,5,
M16,1,site_b,2,4,1,4,5,5,3,4,4,4,3,3,1.5,4.0,2.5,4.0,4.5,0.5,3.5,3.5,0.0,4,5,
M46,1,site_b,2,4,3,4,5,5,3,5,3,4,3,3,2.5,4.0,1.5,4.0,5.0,1.0,3.0,3.5,0.5,5,5,
M47,1,site_b,3,4,2,5,5,4,2,4,4,4,2,3,2.5,4.5,2.0,3.5,4.0,0.5,3.0,3.5,0.5,5,5,Les nouvelles technologies impact énormément le monde que ce soit en terme environnemental et en terme humain 
M19,1,site_b,4,4,4,3,5,4,5,3,4,3,4,3,4.0,3.5,-0.5,5.0,3.5,-1.5,4.0,3.0,-1.0,5,5,
M53,1,site_b,3,4,1,3,5,5,3,3,5,4,3,3,2.0,3.5,1.5,4.0,4.0,0.0,4.0,3.5,-0.5,5,4,
M24,2,site_b,2,4,3,4,3,4,4,5,4,3,4,3,2.5,4.0,1.5,3.5,4.5,1.0,4.0,3.0,-1.0,5,5,
M56,2,site_b,1,1,1,1,4,1,1,1,2,1,1,1,1.0,1.0,0.0,2.5,1.0,-1.5,1.5,1.0,-0.5,5,5,
M35,2,site_b,4,3,2,3,5,5,5,5,4,4,3,4,3.0,3.0,0.0,5.0,5.0,0.0,3.5,4.0,0.5,5,5,Cela nous montre l’impact de notre consommation à l’intelligence artificielle 
M09,2,site_b,2,3,1,4,4,5,3,4,2,4,4,3,1.5,3.5,2.0,3.5,4.5,1.0,3.0,3.5,0.5,5,5,
M36,2,site_b,1,3,1,3,3,3,3,3,3,3,1,3,1.0,3.0,2.0,3.0,3.0,0.0,2.0,3.0,1.0,5,5,
M28,2,site_b,2,3,4,4,5,5,3,4,4,3,4,4,3.0,3.5,0.5,4.0,4.5,0.5,4.0,3.5,-0.5,5,4,
M42,2,site_b,1,4,1,4,4,4,3,4,4,4,3,4,1.0,4.0,3.0,3.5,4.0,0.5,3.5,4.0,0.5,4,4,
M11,2,site_b,1,1,1,1,4,3,3,3,3,3,3,4,1.0,1.0,0.0,3.5,3.0,-0.5,3.0,3.5,0.5,4,5,
M33,2,site_b,2,4,1,2,4,4,2,2,4,2,3,4,1.5,3.0,1.5,3.0,3.0,0.0,3.5,3.0,-0.5,4,4,
M01,2,site_b,2,3,3,4,5,5,4,4,3,4,3,3,2.5,3.5,1.0,4.5,4.5,0.0,3.0,3.5,0.5,4,5,la comparaison des chiffres ça nous permet de mieux comprendre et relativiser l’impact 
M39,2,site_b,3,4,4,4,5,4,4,4,4,4,4,4,3.5,4.0,0.5,4.5,4.0,-0.5,4.0,4.0,0.0,5,5,Le compteur d’eau en direct 
M12,3,site_b,3,1,1,3,3,5,4,4,2,4,2,3,2.0,2.0,0.0,3.5,4.5,1.0,2.0,3.5,1.5,5,5,
M41,3,site_b,1,3,1,4,2,5,1,4,3,4,3,3,1.0,3.5,2.5,1.5,4.5,3.0,3.0,3.5,0.5,5,5,
M14,3,site_b,1,3,4,4,5,5,4,5,3,4,2,5,2.5,3.5,1.0,4.5,5.0,0.5,2.5,4.5,2.0,5,5,Kinshasa 
M38,3,site_b,1,4,3,4,5,5,2,2,2,2,2,3,2.0,4.0,2.0,3.5,3.5,0.0,2.0,2.5,0.5,5,5,Tout
M27,3,site_b,2,3,3,3,2,4,2,4,2,4,4,4,2.5,3.0,0.5,2.0,4.0,2.0,3.0,4.0,1.0,4,4,Bien car ludique 
M15,3,site_b,2,1,3,4,5,2,3,4,4,3,4,4,2.5,2.5,0.0,4.0,3.0,-1.0,4.0,3.5,-0.5,4,5,
M44,4,site_b,1,3,2,3,4,4,2,3,2,4,3,3,1.5,3.0,1.5,3.0,3.5,0.5,2.5,3.5,1.0,4,4,
M26,4,site_b,1,3,4,4,5,5,4,5,3,4,4,3,2.5,3.5,1.0,4.5,5.0,0.5,3.5,3.5,0.0,4,5,
M03,4,site_b,2,3,3,4,5,5,4,4,3,4,4,3,2.5,3.5,1.0,4.5,4.5,0.0,3.5,3.5,0.0,5,5,"J’ai trouvé interessant la façon d’apprendre des choses, et d’essayer de deviner des éléments ! "
